0,0,0,0,0,0,0,0,0,0.28523,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0.28381,0,0,0,0.028281,0.3891,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0.15215,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,0.008894,0.029066,0.0011355,0.0037194,1,0,0.00011364,0,0,0.007636,0,0,0,0.016223,0,0,0,1,1,0,1,1,1,0,0.24073,1,0,1
0,0,0,0,0,0.30256,0,0,0,0,0.40862,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0.74165,0,0,0.010217,0.0337,0,0,0.0010202,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.1255,0,0,0,0
0,0,0,0,0,0,0.32568,0,0.84785,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.98378,0,0,0,0,0,0,0,0,0,0.83139,0,0,0,0
0,0,0,0,0,0.078205,0,0,0,0.0077489,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0.19743,0,0.96861,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0.25835,0,0,0.0035425,0,0,0,0.00035857,0.0048497,0,0.023755,0,1,1,0,0,0,0,0,0,1,0,0,0,0.043116,0.75927,0,1,0
0,0,0,0,0,0,0,0,0,0.31944,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0.99111,0,0.12826,0,0,0,0.012834,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0.32565,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0.19228,0.6369,0,0,0.019314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0.97093,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
