sites,value,cp
Barger,1,2008-2009
Barger,0.957,2008-2009
Barger,1,2011-2012
BC2,0.96,2008-2009
DQU,0.959,2007-2008
Fong,1,2010-2011
H16,1,2008-2009
Hrdy,0.987,2007-2008
Hrdy,1,2008-2009
Hrdy,0.997,2009-2011
MullerB,0.974,2008-2009
MullerB,1,2011-2012
Sperandio,1,2008-2009
Sperandio,0.979,2009-2011
Tractor,1,2009-2011
