"sites","cp","num.runs"
"MullerB","2007-2008",1
"Barger","2008-2009",1
"Hrdy","2008-2009",1
"MullerB","2008-2009",1
"Butler","2009-2011",1
"Hrdy","2009-2011",1
"Fong","2010-2011",1
"MullerB","2011-2012",1
"Sperandio","2012-2013",1
