sites,cp,num.runs
Barger,2006-2007,1
Barger,2012-2013,0.972972973
Barger,2011-2012,0.027027027
BC2,2007-2008,0.013513514
Butler,2008-2009,1
Fong,2012-2013,1
H16,2006-2007,1
Hrdy,2007-2008,1
Hrdy,2009-2011,1
MullerB,2008-2009,1
MullerB,2009-2011,1
Sperandio,2007-2008,1
Tractor,2009-2011,0.972972973
Turkovich,2008-2009,1
