sites,value,cp
Barger,1,2008-2009
Barger,0.963,2008-2009
Barger,1,2011-2012
BC2,0.998,2009-2011
Fong,1,2011-2012
H16,1,2008-2009
Hrdy,0.999,2008-2009
Hrdy,0.986,2009-2011
MC1,0.98,2007-2008
MullerB,0.982,2008-2009
MullerB,1,2011-2012
Sperandio,1,2008-2009
Sperandio,0.998,2009-2011
