sites,value,cp
Barger,1,2008-2009
Barger,1,2011-2012
BC2,0.984,2008-2009
Fong,1,2010-2011
H16,1,2008-2009
Hrdy,0.992,2007-2008
Hrdy,1,2008-2009
MullerB,1,2011-2012
Sperandio,1,2008-2009
Sperandio,0.997,2009-2011
