"","Agapostemon texanus","Allograpta exotica","Allograpta obliqua","Ashmeadiella bucconis denticulata","Ceratina arizonensis","Ceratina dallatorreana","Ceratina nanula","Diadasia enavata","Eristalinus aeneus","Eristalis arbustorum","Eristalis stipator","Eristalis tenax","Eupeodes fumipennis","Eupeodes volucris","Halictus ligatus","Halictus tripartitus","Helophilus latifrons","Hylaeus mesillae","Lasioglossum (Dialictus) incompletum","Lasioglossum (Dialictus) megastictum","Lasioglossum (Dialictus) tegulare group","Melissodes agilis","Melissodes lupina","Melissodes robustior","Paragus haemorrhous","Platycheirus stegnus","Sphaerophoria contigua","Sphaerophoria pyrrhina","Sphaerophoria sulphuripes","Syritta flaviventris","Syritta pipiens","Syrphus opinator","Toxomerus marginatus","Toxomerus occidentalis","Tropidia quadrata"
"Achillea millefolium",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"Aster chilensis",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Baccharis salicifolia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
"Brassica sp.",1,1,1,0,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,1,1,1,1,1,1,1,0,1,0,1
"Carduus pycnocephalus",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"Convolvulus arvensis",0,1,1,0,0,1,1,0,1,0,0,0,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0
"Eriogonum fasciculatum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"Erodium cicutarium",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Grindelia camporum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Heteromeles arbutifolia",0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1
"Malva neglecta",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"Picris echioides",0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,1,0,0,1,1,0,1,1,1,1,0,0,1,0,0,0,0,1,0,0
"Polygonum arenastrum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0
"Rosa californica",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"Sambucus mexicana",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
"Silybum marianum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Sonchus sp.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
