"sites","value","cp"
"Fong",0.9999,"2010-2011"
"Sperandio",0.9845,"2009-2011"
"Tractor",0.9974,"2009-2011"
"Sperandio",0.9966,"2009-2011"
"Barger",1,"2008-2009"
"Barger",0.989,"2008-2009"
"Barger",1,"2011-2012"
"H16",0.9991,"2008-2009"
"Hrdy",0.9867,"2007-2008"
"MullerB",0.9544,"2008-2009"
"Hrdy",1,"2008-2009"
"MullerB",1,"2011-2012"
"BC2",0.9894,"2008-2009"
