"sites","value","cp"
"H16",0.9825,"2006-2007"
"Hrdy",0.9992,NA
"Tractor",0.9519,"2009-2011"
"Fong",0.9999,"2012-2013"
"Barger",0.9995,"2006-2007"
"BC2",0.9999,NA
"MullerB",1,"2009-2011"
"Hrdy",0.9995,"2009-2011"
"Butler",0.9676,"2008-2009"
"MullerB",1,"2008-2009"
"Turkovich",0.9757,"2008-2009"
"Hrdy",0.9891,"2007-2008"
"Sperandio",0.9677,"2007-2008"
"Barger",1,"2012-2013"
"Barger",0.9998,"2006-2007"
