"sites","value","cp"
"Fong",0.9996,"2010-2011"
"Sperandio",0.9853,"2009-2011"
"Tractor",0.9975,"2009-2011"
"Sperandio",0.9955,"2009-2011"
"Barger",0.9828,"2007-2008"
"Barger",1,"2008-2009"
"Barger",0.9884,"2008-2009"
"Barger",1,"2009-2011"
"H16",0.9983,"2008-2009"
"Hrdy",0.9898,"2007-2008"
"MullerB",0.9531,"2008-2009"
"Hrdy",0.9999,"2008-2009"
"Hrdy",0.9998,"2009-2011"
"MullerB",1,"2011-2012"
"BC2",0.9914,"2008-2009"
