"sites","value","cp"
"Tractor",0.9973,"2009-2011"
"MullerB",0.9545,"2008-2009"
"Hrdy",0.9897,"2007-2008"
"Fong",0.9993,"2010-2011"
"H16",0.9984,"2008-2009"
"Sperandio",0.9858,"2009-2011"
"BC2",0.9699,"2009-2011"
"Hrdy",0.9998,"2008-2009"
"Barger",1,"2008-2009"
"Sperandio",0.9965,"2009-2011"
"MullerB",1,"2011-2012"
"Barger",0.9904,"2008-2009"
"Barger",1,"2009-2011"
