"sites","value","cp"
"Fong",0.9997,"2010-2011"
"Sperandio",0.9856,"2009-2011"
"Tractor",0.998,"2009-2011"
"Sperandio",0.9966,"2009-2011"
"Barger",0.9997,"2008-2009"
"Barger",0.9873,"2008-2009"
"Barger",1,"2011-2012"
"H16",0.9992,"2008-2009"
"Hrdy",0.9906,"2007-2008"
"MullerB",0.9536,"2008-2009"
"Hrdy",1,"2008-2009"
"MullerB",1,"2011-2012"
"BC2",0.9916,"2008-2009"
