"sites","value","cp"
"Fong",0.9994,"2010-2011"
"Sperandio",0.9832,"2009-2011"
"Tractor",0.9979,"2009-2011"
"Sperandio",0.996,"2009-2011"
"Barger",0.9998,"2008-2009"
"Barger",0.9901,"2008-2009"
"Barger",1,"2011-2012"
"H16",0.9984,"2008-2009"
"Hrdy",0.9905,"2007-2008"
"MullerB",0.9564,"2008-2009"
"Hrdy",1,"2008-2009"
"MullerB",1,"2011-2012"
"BC2",0.9901,"2008-2009"
