"sites","value","cp"
"Fong",0.9998,"2010-2011"
"Sperandio",0.9863,"2009-2011"
"Tractor",0.9976,"2009-2011"
"Sperandio",0.9963,"2009-2011"
"Barger",0.9999,"2008-2009"
"Barger",0.9888,"2008-2009"
"Barger",1,"2011-2012"
"H16",0.9986,"2008-2009"
"Hrdy",0.9859,"2007-2008"
"MullerB",0.9585,"2008-2009"
"Hrdy",0.9999,"2008-2009"
"MullerB",1,"2011-2012"
"BC2",0.9899,"2008-2009"
