"sites","value","cp"
"Hrdy",0.9988,NA
"Tractor",0.9512,"2009-2011"
"H16",0.9798,"2006-2007"
"Barger",0.9999,"2006-2007"
"Fong",1,"2012-2013"
"BC2",0.9999,NA
"MullerB",1,"2009-2011"
"Hrdy",0.9998,"2009-2011"
"Butler",0.9686,"2008-2009"
"MullerB",0.9999,"2008-2009"
"Turkovich",0.9727,"2008-2009"
"Sperandio",0.9649,"2007-2008"
"Hrdy",0.9885,"2007-2008"
"Barger",1,"2012-2013"
"Barger",0.9999,"2006-2007"
