"sites","value","cp"
"Fong",0.9993,"2010-2011"
"Sperandio",0.9852,"2009-2011"
"Tractor",0.9977,"2009-2011"
"Sperandio",0.9947,"2009-2011"
"Barger",1,"2008-2009"
"Barger",0.9881,"2008-2009"
"Barger",1,"2011-2012"
"H16",0.9983,"2008-2009"
"Hrdy",0.9894,"2007-2008"
"MullerB",0.9565,"2008-2009"
"Hrdy",1,"2008-2009"
"MullerB",1,"2011-2012"
"BC2",0.9897,"2008-2009"
