"sites","value","cp"
"Fong",0.9996,"2010-2011"
"Sperandio",0.9864,"2009-2011"
"Tractor",0.9985,"2009-2011"
"Sperandio",0.9973,"2009-2011"
"Barger",0.9999,"2008-2009"
"Barger",0.9913,"2008-2009"
"Barger",1,"2009-2011"
"H16",0.9986,"2008-2009"
"Hrdy",0.99,"2007-2008"
"MullerB",0.9595,"2008-2009"
"Hrdy",1,"2008-2009"
"MullerB",1,"2011-2012"
"BC2",0.9911,"2008-2009"
