"sites","value","cp"
"Fong",0.9999,"2011-2012"
"Sperandio",0.9943,"2009-2011"
"Tractor",0.9993,"2009-2011"
"Sperandio",0.9958,"2009-2011"
"Barger",1,"2008-2009"
"Barger",0.9712,"2008-2009"
"Barger",1,"2011-2012"
"H16",0.9999,"2008-2009"
"Hrdy",0.9883,"2007-2008"
"MullerB",0.9966,"2008-2009"
"Hrdy",1,"2008-2009"
"MullerB",1,"2011-2012"
"BC2",0.9626,"2009-2011"
