"sites","value","cp"
"Fong",0.9999,"2010-2011"
"Sperandio",0.9997,"2009-2011"
"Sperandio",0.9977,"2009-2011"
"Barger",1,"2008-2009"
"Barger",0.9638,"2008-2009"
"Barger",1,"2011-2012"
"H16",0.9987,"2008-2009"
"Hrdy",0.9882,"2007-2008"
"MullerB",0.9769,"2008-2009"
"Hrdy",0.9999,"2008-2009"
"Hrdy",0.9836,"2009-2011"
"MullerB",1,"2011-2012"
"BC2",0.9804,"2008-2009"
