"sites","value","cp"
"Fong",0.9997,"2010-2011"
"Sperandio",0.9857,"2009-2011"
"Tractor",0.9973,"2009-2011"
"Sperandio",0.9963,"2009-2011"
"Barger",0.9996,"2008-2009"
"Barger",0.9899,"2008-2009"
"Barger",1,"2011-2012"
"H16",0.9987,"2008-2009"
"Hrdy",0.9897,"2007-2008"
"MullerB",0.9556,"2008-2009"
"Hrdy",1,"2008-2009"
"MullerB",1,"2011-2012"
"BC2",0.9909,"2008-2009"
