"sites","value","cp"
"MullerB",0.9549,"2008-2009"
"Tractor",0.9986,"2009-2011"
"Hrdy",0.9896,"2007-2008"
"Fong",0.9995,"2010-2011"
"H16",0.9988,"2008-2009"
"Sperandio",0.9848,"2009-2011"
"Barger",1,"2008-2009"
"Hrdy",0.9999,"2008-2009"
"BC2",0.9994,"2009-2011"
"Sperandio",0.9966,"2009-2011"
"Barger",0.9905,"2008-2009"
"MullerB",1,"2011-2012"
"Barger",1,"2009-2011"
