"sites","value","cp"
"Fong",0.9997,"2010-2011"
"Sperandio",0.9995,"2009-2011"
"Barger",0.9999,"2008-2009"
"Barger",0.9889,"2008-2009"
"Barger",1,"2011-2012"
"H16",1,"2008-2009"
"Hrdy",0.9875,"2007-2008"
"Hrdy",1,"2008-2009"
"Hrdy",0.9835,"2009-2011"
"MullerB",1,"2011-2012"
"BC2",0.9685,"2009-2011"
