"sites","value","cp"
"Fong",0.9998,"2010-2011"
"Sperandio",0.9998,"2009-2011"
"Tractor",0.9976,"2009-2011"
"Sperandio",0.9522,"2009-2011"
"Barger",0.9997,"2008-2009"
"Barger",1,"2011-2012"
"H16",0.9996,"2008-2009"
"Hrdy",0.9892,"2007-2008"
"Hrdy",0.9999,"2008-2009"
"Hrdy",0.9824,"2009-2011"
"MullerB",1,"2011-2012"
"BC2",0.9944,"2009-2011"
