"sites","value","cp"
"H16",0.9811,"2006-2007"
"Tractor",0.9548,"2009-2011"
"Hrdy",0.9987,NA
"Barger",0.9992,"2006-2007"
"Fong",1,"2012-2013"
"BC2",0.9999,NA
"MullerB",1,"2009-2011"
"Hrdy",1,"2009-2011"
"Butler",0.9694,"2008-2009"
"MullerB",1,"2008-2009"
"Sperandio",0.9678,"2007-2008"
"Hrdy",0.9895,"2007-2008"
"Barger",1,"2012-2013"
"Turkovich",0.9725,"2008-2009"
"Barger",0.9998,"2006-2007"
