"sites","value","cp"
"Hrdy",0.9994,NA
"H16",0.9809,"2006-2007"
"Tractor",0.9516,"2009-2011"
"Fong",0.9996,"2012-2013"
"Barger",0.9995,"2006-2007"
"BC2",0.9999,NA
"MullerB",1,"2009-2011"
"Hrdy",0.9994,"2009-2011"
"Butler",0.9649,"2008-2009"
"MullerB",1,"2008-2009"
"Turkovich",0.9774,"2008-2009"
"Hrdy",0.9886,"2007-2008"
"Sperandio",0.9688,"2007-2008"
"Barger",1,"2012-2013"
"Barger",0.9997,"2006-2007"
