"sites","value","cp"
"Fong",0.9995,"2011-2012"
"Sperandio",0.992,"2009-2011"
"Tractor",0.9981,"2009-2011"
"Barger",0.9998,"2008-2009"
"Barger",0.9683,"2008-2009"
"Barger",1,"2011-2012"
"H16",1,"2008-2009"
"Hrdy",0.9887,"2007-2008"
"MullerB",0.9825,"2008-2009"
"Hrdy",1,"2008-2009"
"Hrdy",0.9555,"2009-2011"
"MullerB",1,"2011-2012"
"BC2",0.9817,"2008-2009"
