"sites","value","cp"
"Fong",0.9998,"2010-2011"
"Sperandio",0.9848,"2009-2011"
"Tractor",0.9979,"2009-2011"
"Sperandio",0.9966,"2009-2011"
"Barger",0.9999,"2008-2009"
"Barger",0.9901,"2008-2009"
"Barger",1,"2009-2011"
"H16",0.998,"2008-2009"
"Hrdy",0.9898,"2007-2008"
"MullerB",0.9547,"2008-2009"
"Hrdy",0.9999,"2008-2009"
"MullerB",1,"2011-2012"
"BC2",0.9907,"2008-2009"
