"sites","value","cp"
"H16",0.9826,"2006-2007"
"Tractor",0.9538,"2009-2011"
"Barger",0.9998,"2006-2007"
"Fong",0.9999,"2012-2013"
"Hrdy",0.9988,NA
"BC2",0.9998,NA
"MullerB",1,"2009-2011"
"Hrdy",0.9993,"2009-2011"
"Butler",0.9651,"2008-2009"
"MullerB",1,"2008-2009"
"Turkovich",0.9767,"2008-2009"
"Sperandio",0.966,"2007-2008"
"Barger",1,"2012-2013"
"Hrdy",0.9876,"2007-2008"
"Barger",0.9997,"2006-2007"
