"sites","value","cp"
"Fong",0.9999,"2010-2011"
"Sperandio",0.9848,"2009-2011"
"Tractor",0.998,"2009-2011"
"Sperandio",0.9962,"2009-2011"
"Barger",0.9849,"2007-2008"
"Barger",1,"2008-2009"
"Barger",0.9902,"2008-2009"
"Barger",1,"2009-2011"
"H16",0.9987,"2008-2009"
"Hrdy",0.9886,"2007-2008"
"MullerB",0.956,"2008-2009"
"Hrdy",0.9998,"2008-2009"
"Hrdy",0.9997,"2009-2011"
"MullerB",1,"2011-2012"
"BC2",0.9922,"2008-2009"
