"sites","value","cp"
"Fong",0.9997,"2010-2011"
"Sperandio",0.9845,"2009-2011"
"Tractor",0.998,"2009-2011"
"Sperandio",0.9972,"2009-2011"
"Barger",1,"2008-2009"
"Barger",0.991,"2008-2009"
"Barger",1,"2009-2011"
"H16",0.9989,"2008-2009"
"Hrdy",0.989,"2007-2008"
"MullerB",0.9586,"2008-2009"
"Hrdy",0.9999,"2008-2009"
"MullerB",1,"2011-2012"
"BC2",0.9918,"2008-2009"
