"sites","value","cp"
"Tractor",0.9975,"2009-2011"
"MullerB",0.9593,"2008-2009"
"Hrdy",0.9856,"2007-2008"
"Fong",0.9995,"2010-2011"
"Sperandio",0.9867,"2009-2011"
"H16",0.9995,"2008-2009"
"Barger",1,"2008-2009"
"Hrdy",1,"2008-2009"
"BC2",0.9685,"2009-2011"
"Sperandio",0.996,"2009-2011"
"Barger",0.9877,"2008-2009"
"MullerB",1,"2011-2012"
"Barger",1,"2009-2011"
