"sites","value","cp"
"Fong",0.9996,"2010-2011"
"Sperandio",0.999,"2009-2011"
"Tractor",0.9784,"2009-2011"
"Sperandio",0.9972,"2009-2011"
"Barger",1,"2008-2009"
"Barger",0.9718,"2008-2009"
"Barger",1,"2011-2012"
"H16",1,"2008-2009"
"Hrdy",0.9627,"2008-2009"
"MullerB",0.997,"2008-2009"
"Hrdy",1,"2008-2009"
"MullerB",1,"2011-2012"
"BC2",0.9821,"2008-2009"
