"sites","value","cp"
"Fong",0.9995,"2010-2011"
"Sperandio",0.987,"2009-2011"
"Tractor",0.9987,"2009-2011"
"Sperandio",0.9962,"2009-2011"
"Barger",1,"2008-2009"
"Barger",0.9883,"2008-2009"
"Barger",1,"2009-2011"
"H16",0.9988,"2008-2009"
"Hrdy",0.9899,"2007-2008"
"MullerB",0.9534,"2008-2009"
"Hrdy",1,"2008-2009"
"MullerB",1,"2011-2012"
"BC2",0.9914,"2008-2009"
