"sites","value","cp"
"Fong",0.9994,"2010-2011"
"Sperandio",0.9863,"2009-2011"
"Tractor",0.9979,"2009-2011"
"Sperandio",0.9971,"2009-2011"
"Barger",0.9999,"2008-2009"
"Barger",0.9874,"2008-2009"
"Barger",1,"2009-2011"
"H16",0.999,"2008-2009"
"Hrdy",0.9888,"2007-2008"
"MullerB",0.9545,"2008-2009"
"Hrdy",0.9999,"2008-2009"
"MullerB",1,"2011-2012"
"BC2",0.9914,"2008-2009"
