"sites","value","cp"
"Fong",0.9998,"2010-2011"
"Sperandio",0.9869,"2009-2011"
"Tractor",0.9983,"2009-2011"
"Sperandio",0.9952,"2009-2011"
"Barger",0.9834,"2007-2008"
"Barger",0.9999,"2008-2009"
"Barger",0.9872,"2008-2009"
"Barger",1,"2009-2011"
"H16",0.9986,"2008-2009"
"Hrdy",0.9876,"2007-2008"
"MullerB",0.9578,"2008-2009"
"Hrdy",0.9999,"2008-2009"
"Hrdy",0.9999,"2009-2011"
"MullerB",1,"2011-2012"
"BC2",0.9901,"2008-2009"
