"sites","value","cp"
"Fong",0.9996,"2010-2011"
"Sperandio",0.9842,"2009-2011"
"Tractor",0.9972,"2009-2011"
"Sperandio",0.9965,"2009-2011"
"Barger",0.9827,"2007-2008"
"Barger",1,"2008-2009"
"Barger",0.9887,"2008-2009"
"Barger",1,"2009-2011"
"H16",0.9986,"2008-2009"
"MullerB",0.9577,"2008-2009"
"Hrdy",0.9887,"2007-2008"
"Hrdy",1,"2008-2009"
"MullerB",1,"2011-2012"
"Hrdy",1,"2009-2011"
"BC2",0.9908,"2008-2009"
