"sites","value","cp"
"Fong",0.9991,"2010-2011"
"Sperandio",0.9995,"2009-2011"
"Tractor",0.9977,"2009-2011"
"Sperandio",0.965,"2009-2011"
"Barger",0.9988,"2008-2009"
"Barger",1,"2011-2012"
"H16",0.9987,"2008-2009"
"Hrdy",0.9906,"2007-2008"
"Hrdy",1,"2008-2009"
"MullerB",1,"2011-2012"
"Hrdy",0.9812,"2009-2011"
"BC2",0.9514,"2009-2011"
