"sites","value","cp"
"Fong",0.9995,"2010-2011"
"Sperandio",0.9872,"2009-2011"
"Tractor",0.9974,"2009-2011"
"Sperandio",0.9962,"2009-2011"
"Barger",0.983,"2007-2008"
"Barger",0.9998,"2008-2009"
"Barger",0.9879,"2008-2009"
"Barger",1,"2009-2011"
"H16",0.999,"2008-2009"
"Hrdy",0.9899,"2007-2008"
"MullerB",0.9563,"2008-2009"
"Hrdy",1,"2008-2009"
"Hrdy",1,"2009-2011"
"MullerB",1,"2011-2012"
"BC2",0.9925,"2008-2009"
