"sites","value","cp"
"H16",0.9802,"2006-2007"
"Hrdy",0.9991,NA
"Barger",0.9998,"2006-2007"
"Fong",0.9998,"2012-2013"
"BC2",1,NA
"MullerB",1,"2009-2011"
"Hrdy",0.9996,"2009-2011"
"Butler",0.971,"2008-2009"
"MullerB",1,"2008-2009"
"Turkovich",0.977,"2008-2009"
"Sperandio",0.9658,"2007-2008"
"Hrdy",0.9893,"2007-2008"
"Barger",1,"2012-2013"
"Barger",0.9998,"2006-2007"
