"sites","value","cp"
"Fong",0.9993,"2010-2011"
"Sperandio",1,"2009-2011"
"Tractor",0.9983,"2009-2011"
"Barger",0.9997,"2008-2009"
"Barger",0.9745,"2008-2009"
"Barger",1,"2011-2012"
"H16",0.9997,"2008-2009"
"Hrdy",0.9895,"2007-2008"
"MullerB",0.9817,"2008-2009"
"Hrdy",1,"2008-2009"
"Hrdy",0.9799,"2009-2011"
"MullerB",1,"2011-2012"
"BC2",0.966,"2009-2011"
