"sites","value","cp"
"Fong",0.9998,"2010-2011"
"Sperandio",0.9838,"2009-2011"
"Tractor",0.9978,"2009-2011"
"Sperandio",0.9964,"2009-2011"
"Barger",0.985,"2007-2008"
"Barger",0.9998,"2008-2009"
"Barger",0.9907,"2008-2009"
"Barger",1,"2009-2011"
"H16",0.9991,"2008-2009"
"Hrdy",0.9897,"2007-2008"
"MullerB",0.9579,"2008-2009"
"Hrdy",1,"2008-2009"
"Hrdy",1,"2009-2011"
"MullerB",1,"2011-2012"
"BC2",0.9918,"2008-2009"
