"sites","value","cp"
"Fong",0.9998,"2010-2011"
"Tractor",0.9977,"2009-2011"
"Sperandio",0.9861,"2009-2011"
"Barger",0.9848,"2007-2008"
"Sperandio",0.9963,"2009-2011"
"Barger",1,"2008-2009"
"Barger",0.9883,"2008-2009"
"Barger",1,"2009-2011"
"H16",0.9984,"2008-2009"
"MullerB",0.9592,"2008-2009"
"Hrdy",0.9865,"2007-2008"
"Hrdy",0.9998,"2008-2009"
"MullerB",1,"2011-2012"
"Hrdy",0.9998,"2009-2011"
"BC2",0.9901,"2008-2009"
