"sites","value","cp"
"Fong",0.9999,"2010-2011"
"Sperandio",0.9853,"2009-2011"
"Tractor",0.9971,"2009-2011"
"Sperandio",0.9972,"2009-2011"
"Barger",0.9998,"2008-2009"
"Barger",0.9897,"2008-2009"
"Barger",1,"2011-2012"
"H16",0.9989,"2008-2009"
"Hrdy",0.9887,"2007-2008"
"MullerB",0.9554,"2008-2009"
"Hrdy",0.9998,"2008-2009"
"MullerB",1,"2011-2012"
"BC2",0.99,"2008-2009"
