"sites","value","cp"
"Fong",1,"2010-2011"
"Sperandio",1,"2009-2011"
"Tractor",0.9603,"2009-2011"
"Sperandio",0.9969,"2009-2011"
"Barger",0.9997,"2008-2009"
"Barger",0.9645,"2008-2009"
"Barger",1,"2011-2012"
"H16",0.9997,"2008-2009"
"Hrdy",0.988,"2007-2008"
"MullerB",0.9878,"2008-2009"
"Hrdy",1,"2008-2009"
"MullerB",1,"2011-2012"
"MC1",0.9732,"2007-2008"
"BC2",0.9936,"2008-2009"
