"sites","value","cp"
"Fong",0.9994,"2010-2011"
"Sperandio",0.9826,"2009-2011"
"Tractor",0.9975,"2009-2011"
"Sperandio",0.9958,"2009-2011"
"Barger",0.9996,"2008-2009"
"Barger",0.9897,"2008-2009"
"Barger",1,"2009-2011"
"H16",0.9992,"2008-2009"
"Hrdy",0.9893,"2007-2008"
"MullerB",0.9554,"2008-2009"
"Hrdy",0.9999,"2008-2009"
"MullerB",1,"2011-2012"
"BC2",0.9919,"2008-2009"
