"sites","value","cp"
"MullerB",0.9564,"2008-2009"
"Tractor",0.9972,"2009-2011"
"Hrdy",0.9895,"2007-2008"
"Fong",0.9997,"2010-2011"
"H16",0.9989,"2008-2009"
"Sperandio",0.9849,"2009-2011"
"Barger",1,"2008-2009"
"Hrdy",0.9998,"2008-2009"
"BC2",0.973,"2009-2011"
"Sperandio",0.9953,"2009-2011"
"Barger",0.9893,"2008-2009"
"MullerB",1,"2011-2012"
"Barger",1,"2009-2011"
