"sites","value","cp"
"Fong",0.9993,"2010-2011"
"Sperandio",0.9863,"2009-2011"
"Tractor",0.9978,"2009-2011"
"Sperandio",0.9965,"2009-2011"
"Barger",0.9825,"2007-2008"
"Barger",0.9999,"2008-2009"
"Barger",0.9922,"2008-2009"
"Barger",1,"2009-2011"
"H16",0.9985,"2008-2009"
"MullerB",0.9558,"2008-2009"
"Hrdy",0.9893,"2007-2008"
"Hrdy",1,"2008-2009"
"MullerB",1,"2011-2012"
"Hrdy",0.9997,"2009-2011"
"BC2",0.9912,"2008-2009"
