"sites","value","cp"
"H16",0.9798,"2006-2007"
"Fong",1,"2012-2013"
"Barger",0.9997,"2006-2007"
"BC2",1,NA
"Hrdy",0.9992,NA
"MullerB",1,"2009-2011"
"Butler",0.9662,"2008-2009"
"Hrdy",0.9996,"2009-2011"
"MullerB",0.9999,"2008-2009"
"Turkovich",0.9767,"2008-2009"
"Sperandio",0.9655,"2007-2008"
"Barger",1,"2012-2013"
"Hrdy",0.9887,"2007-2008"
"Barger",0.9998,"2006-2007"
