"sites","value","cp"
"Fong",0.9998,"2010-2011"
"Sperandio",0.9858,"2009-2011"
"Tractor",0.9977,"2009-2011"
"Sperandio",0.9966,"2009-2011"
"Barger",0.9848,"2007-2008"
"Barger",0.9998,"2008-2009"
"Barger",0.9879,"2008-2009"
"Barger",1,"2009-2011"
"H16",0.9983,"2008-2009"
"Hrdy",0.9886,"2007-2008"
"MullerB",0.959,"2008-2009"
"Hrdy",0.9999,"2008-2009"
"Hrdy",1,"2009-2011"
"MullerB",1,"2011-2012"
"BC2",0.9912,"2008-2009"
