"sites","value","cp"
"Fong",0.9997,"2010-2011"
"Sperandio",0.9856,"2009-2011"
"Tractor",0.9977,"2009-2011"
"Sperandio",0.9962,"2009-2011"
"Barger",0.9999,"2008-2009"
"Barger",0.9881,"2008-2009"
"Barger",1,"2011-2012"
"H16",0.9987,"2008-2009"
"Hrdy",0.9899,"2007-2008"
"MullerB",0.9578,"2008-2009"
"Hrdy",0.9998,"2008-2009"
"MullerB",1,"2011-2012"
"BC2",0.992,"2008-2009"
