"sites","value","cp"
"Fong",0.9998,"2010-2011"
"Sperandio",0.9997,"2009-2011"
"Tractor",0.9984,"2009-2011"
"Sperandio",0.9731,"2009-2011"
"Barger",1,"2008-2009"
"Barger",0.9646,"2008-2009"
"Barger",1,"2011-2012"
"H16",1,"2008-2009"
"Hrdy",0.9889,"2007-2008"
"MullerB",0.9999,"2008-2009"
"Hrdy",1,"2008-2009"
"MullerB",1,"2011-2012"
"MC1",0.9708,"2007-2008"
"BC2",0.9793,"2009-2011"
