"sites","value","cp"
"Fong",0.9993,"2010-2011"
"Sperandio",0.9995,"2009-2011"
"Sperandio",0.9675,"2009-2011"
"Barger",1,"2008-2009"
"Barger",0.9699,"2008-2009"
"Barger",1,"2011-2012"
"H16",1,"2008-2009"
"Hrdy",0.9896,"2007-2008"
"MullerB",0.9883,"2008-2009"
"Hrdy",1,"2008-2009"
"Hrdy",0.9759,"2009-2011"
"MullerB",1,"2011-2012"
"MC1",0.971,"2007-2008"
"BC2",0.9671,"2009-2011"
