"sites","value","cp"
"Fong",0.9991,"2010-2011"
"Sperandio",0.9866,"2009-2011"
"Tractor",0.9981,"2009-2011"
"Sperandio",0.9961,"2009-2011"
"Barger",0.9836,"2007-2008"
"Barger",0.9999,"2008-2009"
"Barger",0.9897,"2008-2009"
"Barger",1,"2009-2011"
"H16",0.9991,"2008-2009"
"Hrdy",0.9914,"2007-2008"
"MullerB",0.9583,"2008-2009"
"Hrdy",1,"2008-2009"
"Hrdy",0.9999,"2009-2011"
"MullerB",1,"2011-2012"
"BC2",0.9927,"2008-2009"
