"sites","value","cp"
"Fong",0.9996,"2010-2011"
"Sperandio",0.9851,"2009-2011"
"Tractor",0.9977,"2009-2011"
"Sperandio",0.9968,"2009-2011"
"Barger",1,"2008-2009"
"Barger",0.989,"2008-2009"
"Barger",1,"2009-2011"
"H16",0.9993,"2008-2009"
"Hrdy",0.9886,"2007-2008"
"MullerB",0.9566,"2008-2009"
"Hrdy",0.9996,"2008-2009"
"MullerB",1,"2011-2012"
"BC2",0.9914,"2008-2009"
