"sites","value","cp"
"Fong",0.9999,"2010-2011"
"Sperandio",1,"2008-2009"
"Tractor",0.9982,"2009-2011"
"Barger",0.9997,"2008-2009"
"Barger",0.9721,"2008-2009"
"Barger",1,"2011-2012"
"H16",0.9999,"2008-2009"
"MullerB",0.9979,"2008-2009"
"Hrdy",0.9999,"2008-2009"
"MullerB",1,"2011-2012"
"MC1",0.9726,"2007-2008"
"BC2",0.9548,"2009-2011"
