"sites","value","cp"
"H16",0.9831,"2006-2007"
"Hrdy",0.999,NA
"Tractor",0.9517,"2009-2011"
"Fong",1,"2012-2013"
"BC2",0.9998,NA
"Barger",0.9997,"2006-2007"
"MullerB",1,"2009-2011"
"Hrdy",0.9999,"2009-2011"
"Butler",0.9672,"2008-2009"
"MullerB",1,"2008-2009"
"Turkovich",0.976,"2008-2009"
"Sperandio",0.9659,"2007-2008"
"Hrdy",0.9894,"2007-2008"
"Barger",1,"2012-2013"
"Barger",0.9996,"2006-2007"
