"sites","value","cp"
"MullerB",0.9554,"2008-2009"
"Tractor",0.9975,"2009-2011"
"Hrdy",0.9916,"2007-2008"
"Fong",0.9995,"2010-2011"
"H16",0.9988,"2008-2009"
"Sperandio",0.9888,"2009-2011"
"Barger",1,"2008-2009"
"Hrdy",1,"2008-2009"
"Sperandio",0.9957,"2009-2011"
"Barger",0.9895,"2008-2009"
"MullerB",1,"2011-2012"
"BC2",0.9991,"2009-2011"
"Barger",1,"2009-2011"
