"sites","value","cp"
"Fong",0.9998,"2010-2011"
"Sperandio",0.9841,"2009-2011"
"Tractor",0.997,"2009-2011"
"Sperandio",0.9965,"2009-2011"
"Barger",0.9856,"2007-2008"
"Barger",1,"2008-2009"
"Barger",0.9878,"2008-2009"
"Barger",1,"2009-2011"
"H16",0.998,"2008-2009"
"Hrdy",0.9884,"2007-2008"
"MullerB",0.9566,"2008-2009"
"Hrdy",1,"2008-2009"
"Hrdy",1,"2009-2011"
"MullerB",1,"2011-2012"
"BC2",0.9902,"2008-2009"
