"GenusSpecies","degree","proportional.generality","d","occ.date"
"Lasioglossum (Dialictus) tegulare group",32,0.449401742292765,0.106807390298769,0.461538461538462
"Lasioglossum (Evylaeus) diatretum",1,0.0592591443623598,0.0732493121975819,0.0357142857142857
"Lasioglossum (Evylaeus) granosum",1,0.0592591443623598,0.0165819626469516,NA
"Lasioglossum (Evylaeus) kincaidii",8,0.313569917778559,0.17971647451943,0.0416666666666667
"Lasioglossum (Evylaeus) nigrescens",2,0.11851828872472,0.150969836366407,NA
"Lasioglossum (Evylaeus) sp. 4",1,0.0592591443623598,0,NA
"Lasioglossum mellipes",2,0.11851828872472,0.344824133317833,0.0416666666666667
"Lasioglossum sisymbrii",4,0.199698705321905,0.402977783716136,NA
"Lasioglossum titusi",7,0.206458768489914,0.39228909865543,0.0357142857142857
"Megachile angelarum",13,0.452486903409425,0.468243479399925,0.2
"Megachile apicalis",25,0.666975125984941,0.313223452738684,0.2
"Megachile brevis",9,0.533332299261238,0.423188445116434,0.0416666666666667
"Megachile coquilletti",8,0.2896132665088,0.304393517223676,0.4
"Megachile fidelis",6,0.319351722751789,0.233006846613425,0.0833333333333333
"Megachile frugalis",4,0.22455016706815,0.2374533913412,NA
"Megachile gentilis",10,0.290291114502455,0.29098819566344,0.153846153846154
"Megachile lippiae",3,0.132123706725794,0.215386803530266,0.0416666666666667
"Megachile montivaga",6,0.340286599010431,0.290106905853206,0.0357142857142857
"Megachile occidentalis",1,0.0592591443623598,0.35483918638339,0.2
"Megachile onobrychidis",27,0.68029071525059,0.307537327404946,0.0384615384615385
"Megachile parallela",5,0.167220354044492,0.26233360177837,0.25
"Megachile prosopidis",1,0.0592591443623598,0.368649886648365,NA
"Megachile rotundata",13,0.563293890858453,0.228681854409051,0.0769230769230769
"Melissodes agilis",20,0.265147405428698,0.427870980886191,0.0769230769230769
"Melissodes communis alopex",1,0.0592591443623598,0.468140026547416,NA
"Melissodes communis aloplex",1,0.0592591443623598,0.368649886648365,NA
"Melissodes lupina",26,0.586893514162125,0.256858553325687,0.153846153846154
"Melissodes robustior",11,0.260727738241722,0.411800945115414,0.0384615384615385
"Melissodes stearnsi",10,0.301781432765048,0.346558644914289,NA
"Melissodes tepida timberlakei",9,0.352903672500547,0.308303105389244,0.115384615384615
"Myathropa florea",2,0.111992765071344,0.375246973988745,NA
"Nomada sp. 3",4,0.205279697697332,0.200824067026292,0.0833333333333333
"Nomada sp. 3M",1,0.0592591443623598,0.510809142360883,NA
"Nomada sp. A",1,0.0592591443623598,0.0783962199289096,0.0833333333333333
"Nomada sp. AM",1,0.0592591443623598,0.0879354906215727,NA
"Nomada sp. CK-1",1,0.0592591443623598,0.0165819626469516,NA
"Nomada sp. CK-2M",1,0.0592591443623598,0,NA
"Nomada sp. CKM-2",1,0.0592591443623598,0,NA
"Osmia aglaia",3,0.167610171303749,0.478351525195584,0.0416666666666667
"Osmia atrocyanea",2,0.11851828872472,0.523672907741941,NA
"Osmia coloradensis",1,0.0592591443623598,0.0732493121975819,NA
"Osmia gaudiosa",7,0.369791962668126,0.464481809805098,NA
"Osmia granulosa",2,0.11851828872472,0.177505658096798,0.037037037037037
"Osmia laeta",2,0.116155727628888,0.483680854305307,NA
"Osmia lignaria propinqua",4,0.161521517301685,0.474411682449965,0.0434782608695652
"Osmia nemoris",3,0.177777433087079,0.3886888062534,0.0416666666666667
"Osmia regulina",6,0.247795903956534,0.480673968806758,0.0434782608695652
"Osmia sp. MG",1,0.0592591443623598,0,NA
"Osmia spp.",1,0.0592591443623598,0.368649886648365,NA
"Osmia texana",2,0.0929890098210344,0.538272867215256,0.0769230769230769
"Palpada alhambra",4,0.237036577449439,0.26078327864558,NA
"Paragus haemorrhous",57,1.01290021486633,0.249389053265302,0.576923076923077
"Paragus longistylus",1,0.0592591443623598,0.414950126498916,0.037037037037037
"Peponapis pruinosa",6,0.237036577449439,0.646504937498343,0.0357142857142857
"Platycheirus obscurus",6,0.196764469292266,0.155934346783065,0.0416666666666667
"Platycheirus quadratus",4,0.22455016706815,0.238217004891773,0.037037037037037
